country,year,income,life_expectancy,population,four_regions,eight_regions,six_regions
Guinea,1960,805,42.1,3580000,africa,africa_sub_saharan,sub_saharan_africa
Guinea-Bissau,1960,1210,39,616000,africa,africa_sub_saharan,sub_saharan_africa
Guyana,1960,3100,59.4,572000,americas,america_south,america
Haiti,1960,2300,40.9,3870000,americas,america_north,america
Honduras,1960,2510,50.1,2040000,americas,america_north,america
Hungary,1960,9140,68,10000000,europe,europe_east,europe_central_asia
Iceland,1960,11100,74.2,176000,europe,europe_west,europe_central_asia
India,1960,1040,41.5,449000000,asia,asia_west,south_asia
Indonesia,1960,1750,45.9,87800000,asia,east_asia_pacific,east_asia_pacific
Iran,1960,5420,48.7,21900000,asia,asia_west,middle_east_north_africa
Iraq,1960,6080,49.8,7290000,asia,asia_west,middle_east_north_africa
Ireland,1960,7800,70.5,2820000,europe,europe_west,europe_central_asia
Israel,1960,7000,67.3,2090000,asia,asia_west,middle_east_north_africa
Italy,1960,10400,69.1,49700000,europe,europe_west,europe_central_asia
Jamaica,1960,5410,64.7,1630000,americas,america_north,america
Japan,1960,4840,68,93700000,asia,east_asia_pacific,east_asia_pacific
Jordan,1960,4060,54.2,932000,asia,asia_west,middle_east_north_africa
Kazakhstan,1960,8480,59.4,10000000,asia,asia_west,europe_central_asia
Kenya,1960,1890,50.9,8110000,africa,africa_sub_saharan,sub_saharan_africa
Kiribati,1960,2830,49.8,41200,asia,east_asia_pacific,east_asia_pacific
Kuwait,1960,19300,63.2,270000,asia,asia_west,middle_east_north_africa
Kyrgyz Republic,1960,2780,55.5,2170000,asia,asia_west,europe_central_asia
Lao,1960,1240,39.7,2120000,asia,east_asia_pacific,east_asia_pacific
Latvia,1960,5510,70.2,2130000,europe,europe_east,europe_central_asia
Lebanon,1960,8910,63.7,1800000,asia,asia_west,middle_east_north_africa
Lesotho,1960,564,52.4,852000,africa,africa_sub_saharan,sub_saharan_africa
Liberia,1960,1760,41.3,1120000,africa,africa_sub_saharan,sub_saharan_africa
Libya,1960,12000,49.5,1450000,africa,africa_north,middle_east_north_africa
Lithuania,1960,9090,70.3,2770000,europe,europe_east,europe_central_asia
Luxembourg,1960,22400,69.5,315000,europe,europe_west,europe_central_asia
"Macedonia, FYR",1960,4030,61.6,1490000,europe,europe_east,europe_central_asia
Madagascar,1960,2280,44.8,5100000,africa,africa_sub_saharan,sub_saharan_africa
Malawi,1960,522,40.3,3620000,africa,africa_sub_saharan,sub_saharan_africa
Malaysia,1960,3000,59.6,8160000,asia,east_asia_pacific,east_asia_pacific
Maldives,1960,1090,32.2,89900,asia,asia_west,south_asia
Mali,1960,834,34,5260000,africa,africa_sub_saharan,sub_saharan_africa
Malta,1960,2790,66.7,312000,europe,europe_west,europe_central_asia
Marshall Islands,1960,1700,NA,14700,asia,east_asia_pacific,east_asia_pacific
Mauritania,1960,1670,47.5,858000,africa,africa_sub_saharan,sub_saharan_africa
Mauritius,1960,2760,56.8,660000,africa,africa_sub_saharan,sub_saharan_africa
Mexico,1960,6000,57.7,38200000,americas,america_north,america
"Micronesia, Fed. Sts.",1960,1420,56.1,44500,asia,east_asia_pacific,east_asia_pacific
Moldova,1960,3710,59.9,3000000,europe,europe_east,europe_central_asia
Monaco,1960,17100,NA,22500,europe,europe_west,europe_central_asia
Mongolia,1960,1210,47.7,956000,asia,east_asia_pacific,east_asia_pacific
Montenegro,1960,6610,66,487000,europe,europe_east,europe_central_asia
Morocco,1960,1950,50.7,12300000,africa,africa_north,middle_east_north_africa
Mozambique,1960,472,41.7,7390000,africa,africa_sub_saharan,sub_saharan_africa
Myanmar,1960,815,40.8,21000000,asia,east_asia_pacific,east_asia_pacific
Namibia,1960,4680,51.5,603000,africa,africa_sub_saharan,sub_saharan_africa
Nauru,1960,14100,NA,4430,asia,east_asia_pacific,east_asia_pacific
Nepal,1960,958,43.8,10100000,asia,asia_west,south_asia
Netherlands,1960,13100,73.5,11400000,europe,europe_west,europe_central_asia
New Zealand,1960,16200,71.5,2370000,asia,east_asia_pacific,east_asia_pacific
Nicaragua,1960,4280,50.8,1770000,americas,america_north,america
Niger,1960,1200,42,3390000,africa,africa_sub_saharan,sub_saharan_africa
Nigeria,1960,3820,49,45100000,africa,africa_sub_saharan,sub_saharan_africa
North Korea,1960,1540,57.3,11400000,asia,east_asia_pacific,east_asia_pacific
Norway,1960,15400,73.5,3580000,europe,europe_west,europe_central_asia
Oman,1960,4650,43,552000,asia,asia_west,middle_east_north_africa
Pakistan,1960,1210,49.1,44900000,asia,asia_west,south_asia
Palau,1960,16000,NA,9640,asia,east_asia_pacific,east_asia_pacific
Palestine,1960,1140,54.7,1070000,asia,asia_west,middle_east_north_africa
Panama,1960,4080,63.2,1130000,americas,america_north,america
Papua New Guinea,1960,1090,44.4,2010000,asia,east_asia_pacific,east_asia_pacific
Paraguay,1960,2940,67.4,1900000,americas,america_south,america
Peru,1960,5380,43,10100000,americas,america_south,america
Philippines,1960,2600,59.8,26300000,asia,east_asia_pacific,east_asia_pacific
Poland,1960,6320,67.8,29600000,europe,europe_west,europe_central_asia
Portugal,1960,5460,64.4,8890000,europe,europe_west,europe_central_asia
Qatar,1960,15500,60.3,47400,asia,asia_west,middle_east_north_africa
Romania,1960,6060,66,18600000,europe,europe_east,europe_central_asia
Russia,1960,10900,68.2,120000000,europe,europe_east,europe_central_asia
Rwanda,1960,635,44.2,2930000,africa,africa_sub_saharan,sub_saharan_africa
Samoa,1960,3340,58.2,109000,asia,east_asia_pacific,east_asia_pacific
San Marino,1960,13800,NA,15400,europe,europe_west,europe_central_asia
Sao Tome and Principe,1960,1240,52.5,64300,africa,africa_sub_saharan,sub_saharan_africa
Saudi Arabia,1960,10200,54.9,4090000,asia,asia_west,middle_east_north_africa
Senegal,1960,2020,45.5,3210000,africa,africa_sub_saharan,sub_saharan_africa
Serbia,1960,6950,64.8,7560000,europe,europe_east,europe_central_asia
Seychelles,1960,6030,60.9,41500,africa,africa_sub_saharan,sub_saharan_africa
Sierra Leone,1960,1280,39.1,2300000,africa,africa_sub_saharan,sub_saharan_africa
Singapore,1960,4990,66,1630000,asia,east_asia_pacific,east_asia_pacific
Slovak Republic,1960,8810,70.5,4140000,europe,europe_east,europe_central_asia
Slovenia,1960,8160,67.4,1590000,europe,europe_east,europe_central_asia
Solomon Islands,1960,1110,49.5,118000,asia,east_asia_pacific,east_asia_pacific
Somalia,1960,1210,44.2,2760000,africa,africa_sub_saharan,sub_saharan_africa
South Africa,1960,7870,52.7,17500000,africa,africa_sub_saharan,sub_saharan_africa
South Korea,1960,1150,53.6,25300000,asia,east_asia_pacific,east_asia_pacific
South Sudan,1960,2450,42.3,2960000,africa,africa_sub_saharan,sub_saharan_africa
Spain,1960,5740,69,30500000,europe,europe_west,europe_central_asia
Sri Lanka,1960,1880,60,9870000,asia,asia_west,south_asia
St. Kitts and Nevis,1960,3820,NA,51200,americas,america_north,america
St. Lucia,1960,2310,59.5,89900,americas,america_north,america
St. Vincent and the Grenadines,1960,2930,57.8,80900,americas,america_north,america
Sudan,1960,2280,48.5,7540000,africa,africa_sub_saharan,sub_saharan_africa
Suriname,1960,6940,60.8,290000,americas,america_south,america
Swaziland,1960,1920,47,349000,africa,africa_sub_saharan,sub_saharan_africa
Sweden,1960,15100,72.9,7480000,europe,europe_west,europe_central_asia
Switzerland,1960,27600,71.3,5300000,europe,europe_west,europe_central_asia
Syria,1960,2250,57.2,4570000,asia,asia_west,middle_east_north_africa
Tajikistan,1960,3370,52.9,2090000,asia,asia_west,europe_central_asia
Tanzania,1960,1070,48.4,10100000,africa,africa_sub_saharan,sub_saharan_africa
Thailand,1960,1540,57.6,27400000,asia,east_asia_pacific,east_asia_pacific
Timor-Leste,1960,719,37.1,500000,asia,east_asia_pacific,east_asia_pacific
Togo,1960,1240,44.4,1580000,africa,africa_sub_saharan,sub_saharan_africa
Tonga,1960,1540,61.9,61600,asia,east_asia_pacific,east_asia_pacific
Trinidad and Tobago,1960,8070,63,848000,americas,america_north,america
Tunisia,1960,2180,46.7,4180000,africa,africa_north,middle_east_north_africa
Turkey,1960,4920,49.1,27500000,europe,europe_east,europe_central_asia
Turkmenistan,1960,7020,52.3,1600000,asia,asia_west,europe_central_asia
Tuvalu,1960,1560,NA,6100,asia,east_asia_pacific,east_asia_pacific
Uganda,1960,881,45.2,6790000,africa,africa_sub_saharan,sub_saharan_africa
Ukraine,1960,5530,69.4,42700000,europe,europe_east,europe_central_asia
United Arab Emirates,1960,1770,55,92600,asia,asia_west,middle_east_north_africa
United Kingdom,1960,13800,71,52400000,europe,europe_west,europe_central_asia
United States,1960,18100,69.9,187000000,americas,america_north,america
Uruguay,1960,8000,67.7,2540000,americas,america_south,america
Uzbekistan,1960,2360,59.3,8550000,asia,asia_west,europe_central_asia
Vanuatu,1960,1470,50.1,63700,asia,east_asia_pacific,east_asia_pacific
Venezuela,1960,13000,61.1,8150000,americas,america_south,america
Vietnam,1960,1150,53.9,32700000,asia,east_asia_pacific,east_asia_pacific
Yemen,1960,1420,33,5170000,asia,asia_west,middle_east_north_africa
Zambia,1960,3110,50.6,3040000,africa,africa_sub_saharan,sub_saharan_africa
Zimbabwe,1960,2000,53.8,3750000,africa,africa_sub_saharan,sub_saharan_africa
Afghanistan,1961,1200,39.4,9170000,asia,asia_west,south_asia
Albania,1961,2820,63.7,1690000,europe,europe_east,europe_central_asia
Algeria,1961,5640,52.6,11400000,africa,africa_north,middle_east_north_africa
Andorra,1961,16500,NA,14400,europe,europe_west,europe_central_asia
Angola,1961,4310,43,5750000,africa,africa_sub_saharan,sub_saharan_africa
Antigua and Barbuda,1961,4530,63.4,56100,americas,america_north,america
Argentina,1961,9510,64.2,21000000,americas,america_south,america
Armenia,1961,2610,62.4,1940000,europe,europe_east,europe_central_asia
Australia,1961,14100,71.5,10500000,asia,east_asia_pacific,east_asia_pacific
Austria,1961,12600,69.7,7110000,europe,europe_west,europe_central_asia
Azerbaijan,1961,5290,58.1,4030000,europe,europe_east,europe_central_asia
Bahamas,1961,15600,62.2,115000,americas,america_north,america
Bahrain,1961,23000,54.2,168000,asia,asia_west,middle_east_north_africa
Bangladesh,1961,1090,44.3,49600000,asia,asia_west,south_asia
Barbados,1961,5360,65,232000,americas,america_north,america
Belarus,1961,4100,71.3,8260000,europe,europe_east,europe_central_asia
Belgium,1961,13100,70.5,9230000,europe,europe_west,europe_central_asia
Belize,1961,2030,61.3,94700,americas,america_north,america
Benin,1961,1200,41.6,2470000,africa,africa_sub_saharan,sub_saharan_africa
Bhutan,1961,961,42.3,229000,asia,asia_west,south_asia
Bolivia,1961,2690,46.7,3760000,americas,america_south,america
Bosnia and Herzegovina,1961,1800,61.2,3290000,europe,europe_east,europe_central_asia
Botswana,1961,991,52.5,537000,africa,africa_sub_saharan,sub_saharan_africa
Brazil,1961,4670,57.4,74400000,americas,america_south,america
Brunei,1961,68200,61.6,85600,asia,east_asia_pacific,east_asia_pacific
Bulgaria,1961,5120,70,7950000,europe,europe_east,europe_central_asia
Burkina Faso,1961,681,39.2,4890000,africa,africa_sub_saharan,sub_saharan_africa
Burundi,1961,543,42.3,2840000,africa,africa_sub_saharan,sub_saharan_africa
Cambodia,1961,1490,44.1,5870000,asia,east_asia_pacific,east_asia_pacific
Cameroon,1961,1840,46.6,5290000,africa,africa_sub_saharan,sub_saharan_africa
Canada,1961,14600,71.4,18300000,americas,america_north,america
Cape Verde,1961,860,53.8,206000,africa,africa_sub_saharan,sub_saharan_africa
Central African Republic,1961,1450,42,1530000,africa,africa_sub_saharan,sub_saharan_africa
Chad,1961,1470,44.9,3060000,africa,africa_sub_saharan,sub_saharan_africa
Chile,1961,6070,58.6,7890000,americas,america_south,america
China,1961,560,33.3,668000000,asia,east_asia_pacific,east_asia_pacific
Colombia,1961,3530,61.6,17000000,americas,america_south,america
Comoros,1961,1010,46.7,194000,africa,africa_sub_saharan,sub_saharan_africa
"Congo, Dem. Rep.",1961,1960,46.8,15600000,africa,africa_sub_saharan,sub_saharan_africa
"Congo, Rep.",1961,2500,45.4,1060000,africa,africa_sub_saharan,sub_saharan_africa
Costa Rica,1961,4280,64,1380000,americas,america_north,america
Cote d'Ivoire,1961,2730,43.3,3690000,africa,africa_sub_saharan,sub_saharan_africa
Croatia,1961,7950,64.8,4220000,europe,europe_east,europe_central_asia
Cuba,1961,9460,66.3,7290000,americas,america_north,america
Cyprus,1961,5750,68,576000,europe,europe_west,europe_central_asia
Czech Republic,1961,12300,70.8,9640000,europe,europe_east,europe_central_asia
Denmark,1961,16200,72.4,4610000,europe,europe_west,europe_central_asia
Djibouti,1961,3790,53.2,88500,africa,africa_north,middle_east_north_africa
Dominica,1961,2450,NA,61000,americas,america_north,america
Dominican Republic,1961,2510,57.8,3410000,americas,america_north,america
Ecuador,1961,4450,58.3,4680000,americas,america_south,america
Egypt,1961,2080,48.1,27700000,africa,africa_north,middle_east_north_africa
El Salvador,1961,4000,54,2840000,americas,america_north,america
Equatorial Guinea,1961,712,40.9,259000,africa,africa_sub_saharan,sub_saharan_africa
Eritrea,1961,935,41.7,1430000,africa,africa_sub_saharan,sub_saharan_africa
Estonia,1961,7490,69.5,1230000,europe,europe_east,europe_central_asia
Ethiopia,1961,668,39.7,22700000,africa,africa_sub_saharan,sub_saharan_africa
Fiji,1961,3580,60.3,407000,asia,east_asia_pacific,east_asia_pacific
Finland,1961,11400,68.8,4470000,europe,europe_east,europe_central_asia
France,1961,12200,71.3,46500000,europe,europe_west,europe_central_asia
Gabon,1961,1650,44.1,504000,africa,africa_sub_saharan,sub_saharan_africa
Gambia,1961,1350,45.7,377000,africa,africa_sub_saharan,sub_saharan_africa
Georgia,1961,3400,61.3,4080000,europe,europe_east,europe_central_asia
Germany,1961,15300,69.8,73900000,europe,europe_west,europe_central_asia
Ghana,1961,2270,51.3,6870000,africa,africa_sub_saharan,sub_saharan_africa
Greece,1961,6630,70.9,8310000,europe,europe_west,europe_central_asia
Grenada,1961,2120,63.5,91300,americas,america_north,america
Guatemala,1961,3340,45.1,4340000,americas,america_north,america
Guinea,1961,844,42.5,3630000,africa,africa_sub_saharan,sub_saharan_africa
Guinea-Bissau,1961,1260,39.1,623000,africa,africa_sub_saharan,sub_saharan_africa
Guyana,1961,3160,59.5,589000,americas,america_south,america
Haiti,1961,2160,41.4,3940000,americas,america_north,america
Honduras,1961,2490,50.9,2100000,americas,america_north,america
Hungary,1961,9600,68.9,10000000,europe,europe_east,europe_central_asia
Iceland,1961,10900,73.6,179000,europe,europe_west,europe_central_asia
India,1961,1040,42.2,458000000,asia,asia_west,south_asia
Indonesia,1961,1810,46.7,90100000,asia,east_asia_pacific,east_asia_pacific
Iran,1961,5740,49.3,22500000,asia,asia_west,middle_east_north_africa
Iraq,1961,6580,51.1,7480000,asia,asia_west,middle_east_north_africa
Ireland,1961,8220,69.9,2820000,europe,europe_west,europe_central_asia
Israel,1961,7500,67.6,2170000,asia,asia_west,middle_east_north_africa
Italy,1961,11100,69.8,50100000,europe,europe_west,europe_central_asia
Jamaica,1961,5510,65.3,1650000,americas,america_north,america
Japan,1961,5370,68.6,94600000,asia,east_asia_pacific,east_asia_pacific
Jordan,1961,4670,55.1,973000,asia,asia_west,middle_east_north_africa
Kazakhstan,1961,8810,59.9,10400000,asia,asia_west,europe_central_asia
Kenya,1961,1770,51.7,8360000,africa,africa_sub_saharan,sub_saharan_africa
Kiribati,1961,2920,50.3,42300,asia,east_asia_pacific,east_asia_pacific
Kuwait,1961,21400,64,301000,asia,asia_west,middle_east_north_africa
Kyrgyz Republic,1961,2840,55.9,2240000,asia,asia_west,europe_central_asia
Lao,1961,1250,40,2170000,asia,east_asia_pacific,east_asia_pacific
Latvia,1961,5730,70.4,2160000,europe,europe_east,europe_central_asia
Lebanon,1961,9360,64,1860000,asia,asia_west,middle_east_north_africa
Lesotho,1961,560,53,866000,africa,africa_sub_saharan,sub_saharan_africa
Liberia,1961,1760,41.6,1140000,africa,africa_sub_saharan,sub_saharan_africa
Libya,1961,12800,51.4,1500000,africa,africa_north,middle_east_north_africa
Lithuania,1961,9440,70.5,2810000,europe,europe_east,europe_central_asia
Luxembourg,1961,23200,70,317000,europe,europe_west,europe_central_asia
"Macedonia, FYR",1961,4180,62.2,1510000,europe,europe_east,europe_central_asia
Madagascar,1961,2280,45.4,5220000,africa,africa_sub_saharan,sub_saharan_africa
Malawi,1961,538,40.5,3700000,africa,africa_sub_saharan,sub_saharan_africa
Malaysia,1961,3130,60.2,8420000,asia,east_asia_pacific,east_asia_pacific
Maldives,1961,1110,32.8,92400,asia,asia_west,south_asia
Mali,1961,825,34.3,5320000,africa,africa_sub_saharan,sub_saharan_africa
Malta,1961,2820,67,313000,europe,europe_west,europe_central_asia
Marshall Islands,1961,1740,NA,15100,asia,east_asia_pacific,east_asia_pacific
Mauritania,1961,1940,48.3,883000,africa,africa_sub_saharan,sub_saharan_africa
Mauritius,1961,3300,57.7,679000,africa,africa_sub_saharan,sub_saharan_africa
Mexico,1961,6110,58.3,39400000,americas,america_north,america
"Micronesia, Fed. Sts.",1961,1450,56.4,46000,asia,east_asia_pacific,east_asia_pacific
Moldova,1961,3860,60.2,3080000,europe,europe_east,europe_central_asia
Monaco,1961,17900,NA,22800,europe,europe_west,europe_central_asia
Mongolia,1961,1250,48.6,982000,asia,east_asia_pacific,east_asia_pacific
Montenegro,1961,6850,66.8,498000,europe,europe_east,europe_central_asia
Morocco,1961,1970,51.2,12700000,africa,africa_north,middle_east_north_africa
Mozambique,1961,475,42.3,7540000,africa,africa_sub_saharan,sub_saharan_africa
Myanmar,1961,814,41.4,21400000,asia,east_asia_pacific,east_asia_pacific
Namibia,1961,4620,52.3,617000,africa,africa_sub_saharan,sub_saharan_africa
Nauru,1961,16000,NA,4680,asia,east_asia_pacific,east_asia_pacific
Nepal,1961,965,44.3,10200000,asia,asia_west,south_asia
Netherlands,1961,13300,73.7,11600000,europe,europe_west,europe_central_asia
New Zealand,1961,16700,71.2,2420000,asia,east_asia_pacific,east_asia_pacific
Nicaragua,1961,4450,51.5,1830000,americas,america_north,america
Niger,1961,1220,42.1,3490000,africa,africa_sub_saharan,sub_saharan_africa
Nigeria,1961,3560,49.8,46100000,africa,africa_sub_saharan,sub_saharan_africa
North Korea,1961,1620,57.7,11700000,asia,east_asia_pacific,east_asia_pacific
Norway,1961,16300,73.5,3610000,europe,europe_west,europe_central_asia
Oman,1961,4610,43.8,565000,asia,asia_west,middle_east_north_africa
Pakistan,1961,1250,50.1,46000000,asia,asia_west,south_asia
Palau,1961,16900,NA,9900,asia,east_asia_pacific,east_asia_pacific
Palestine,1961,1120,55.3,1100000,asia,asia_west,middle_east_north_africa
Panama,1961,4390,63.7,1170000,americas,america_north,america
Papua New Guinea,1961,1140,45.2,2050000,asia,east_asia_pacific,east_asia_pacific
Paraguay,1961,3000,67.7,1950000,americas,america_south,america
Peru,1961,5670,43.4,10400000,americas,america_south,america
Philippines,1961,2660,60.1,27200000,asia,east_asia_pacific,east_asia_pacific
Poland,1961,6740,68,30000000,europe,europe_west,europe_central_asia
Portugal,1961,5770,63.1,8920000,europe,europe_west,europe_central_asia
Qatar,1961,19500,61.1,51400,asia,asia_west,middle_east_north_africa
Romania,1961,6440,66.7,18800000,europe,europe_east,europe_central_asia
Russia,1961,11300,68.5,121000000,europe,europe_east,europe_central_asia
Rwanda,1961,605,44.5,3000000,africa,africa_sub_saharan,sub_saharan_africa
Samoa,1961,3380,58.9,112000,asia,east_asia_pacific,east_asia_pacific
San Marino,1961,14600,NA,15800,europe,europe_west,europe_central_asia
Sao Tome and Principe,1961,1330,53.1,64600,africa,africa_sub_saharan,sub_saharan_africa
Saudi Arabia,1961,11900,55.6,4220000,asia,asia_west,middle_east_north_africa
Senegal,1961,2070,45.8,3300000,africa,africa_sub_saharan,sub_saharan_africa
Serbia,1961,7180,65.4,7610000,europe,europe_east,europe_central_asia
Seychelles,1961,5540,61.5,42400,africa,africa_sub_saharan,sub_saharan_africa
Sierra Leone,1961,1280,39.4,2330000,africa,africa_sub_saharan,sub_saharan_africa
Singapore,1961,5520,66.4,1690000,asia,east_asia_pacific,east_asia_pacific
Slovak Republic,1961,9080,70.9,4200000,europe,europe_east,europe_central_asia
Slovenia,1961,8450,67.6,1600000,europe,europe_east,europe_central_asia
Solomon Islands,1961,1130,50,121000,asia,east_asia_pacific,east_asia_pacific
Somalia,1961,1240,44.7,2810000,africa,africa_sub_saharan,sub_saharan_africa
South Africa,1961,7950,53.2,17900000,africa,africa_sub_saharan,sub_saharan_africa
South Korea,1961,1170,54.4,26100000,asia,east_asia_pacific,east_asia_pacific
South Sudan,1961,2390,42.9,3010000,africa,africa_sub_saharan,sub_saharan_africa
Spain,1961,6440,69.4,30800000,europe,europe_west,europe_central_asia
Sri Lanka,1961,1870,60.4,10100000,asia,asia_west,south_asia
St. Kitts and Nevis,1961,3870,NA,51200,americas,america_north,america
St. Lucia,1961,2420,60.4,90900,americas,america_north,america
St. Vincent and the Grenadines,1961,3010,58.9,82100,americas,america_north,america
Sudan,1961,2220,48.9,7770000,africa,africa_sub_saharan,sub_saharan_africa
Suriname,1961,7110,61.2,298000,americas,america_south,america
Swaziland,1961,2120,47.3,357000,africa,africa_sub_saharan,sub_saharan_africa
Sweden,1961,16000,73.4,7530000,europe,europe_west,europe_central_asia
Switzerland,1961,29000,71.6,5390000,europe,europe_west,europe_central_asia
Syria,1961,2210,57.9,4720000,asia,asia_west,middle_east_north_africa
Tajikistan,1961,3500,53.3,2160000,asia,asia_west,europe_central_asia
Tanzania,1961,1040,48.7,10400000,africa,africa_sub_saharan,sub_saharan_africa
Thailand,1961,1570,58.2,28200000,asia,east_asia_pacific,east_asia_pacific
Timor-Leste,1961,720,37.6,509000,asia,east_asia_pacific,east_asia_pacific
Togo,1961,1290,45.2,1600000,africa,africa_sub_saharan,sub_saharan_africa
Tonga,1961,1560,62.3,63700,asia,east_asia_pacific,east_asia_pacific
Trinidad and Tobago,1961,8230,63.6,865000,americas,america_north,america
Tunisia,1961,2340,47.5,4240000,africa,africa_north,middle_east_north_africa
Turkey,1961,4880,49.9,28100000,europe,europe_east,europe_central_asia
Turkmenistan,1961,7300,52.7,1660000,asia,asia_west,europe_central_asia
Tuvalu,1961,1580,NA,6250,asia,east_asia_pacific,east_asia_pacific
Uganda,1961,849,45.8,7010000,africa,africa_sub_saharan,sub_saharan_africa
Ukraine,1961,5750,69.7,43200000,europe,europe_east,europe_central_asia
United Arab Emirates,1961,1980,56.1,101000,asia,asia_west,middle_east_north_africa
United Kingdom,1961,14000,70.7,52800000,europe,europe_west,europe_central_asia
United States,1961,18200,70.3,190000000,americas,america_north,america
Uruguay,1961,8070,68,2570000,americas,america_south,america
Uzbekistan,1961,2450,59.7,8840000,asia,asia_west,europe_central_asia
Vanuatu,1961,1490,50.8,65700,asia,east_asia_pacific,east_asia_pacific
